timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614679008524,19,Kittens-22,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,2006,200,5,7,http://tse1.mm.bing.net/th?q=Precious+Kittens&w=42&h=42&c=7&rs=1&p=0&o=5&pid=1.7&mkt=en-GB&adlt=moderate,19,0,0
1614679008543,46,Kittens-23,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,9374,184,5,7,http://tse4.mm.bing.net/th/id/OIP.g7X44N3UTeeiqR-bw-4tugHaFy?w=191&h=149&c=7&o=5&pid=1.7,46,0,0
1614679008589,69,Kittens-24,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7545,184,5,7,http://tse4.mm.bing.net/th/id/OIP.y09KdGz4r3jEnzA3XHeWvwHaE8?w=191&h=128&c=7&o=5&pid=1.7,69,0,0
1614679008658,43,Kittens-25,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,3974,184,5,7,http://tse3.mm.bing.net/th/id/OIP.iPPdhC1Lio2Qj-bOjyq6LgHaEK?w=191&h=107&c=7&o=5&pid=1.7,43,0,0
1614679008701,65,Kittens-26,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,18642,184,5,7,http://tse4.mm.bing.net/th/id/OIP.xO9-9frMZ9NjfJx9trxhBwDPEt?w=191&h=278&c=7&o=5&pid=1.7,64,0,0
1614679008766,66,Kittens-27,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12537,184,5,7,http://tse1.mm.bing.net/th/id/OIP.E5J6CtifNwNYEkCuJAkTBwHaJ4?w=191&h=255&c=7&o=5&pid=1.7,65,0,0
1614679008832,64,Kittens-28,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,11853,184,5,7,http://tse4.mm.bing.net/th/id/OIP.p7QwnVvTLTfiCBCddqt0-gAAAA?w=191&h=289&c=7&o=5&pid=1.7,64,0,0
1614679008896,23,Kittens-29,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,13199,232,5,7,http://tse4.mm.bing.net/th?q=Cute+Teacup+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,20,0,0
1614679008919,103,Kittens-30,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,14630,184,5,7,http://tse4.mm.bing.net/th/id/OIP.FXwOjB9bdzOykuPW-uVWQAHaJ3?w=191&h=255&c=7&o=5&pid=1.7,103,0,0
1614679009022,74,Kittens-31,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12081,184,5,7,http://tse3.mm.bing.net/th/id/OIP.d-tqJewhqKAcGLnJfE0JIAHaLO?w=191&h=289&c=7&o=5&pid=1.7,71,0,0
1614679009096,332,Kittens-32,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,12311,184,5,7,http://tse2.mm.bing.net/th/id/OIP.lyOHk9GXL6KlyUyx3g8wdgAAAA?w=191&h=286&c=7&o=5&pid=1.7,332,0,21
1614679009428,63,Kittens-33,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,10198,184,5,7,http://tse4.mm.bing.net/th/id/OIP.ryWck3N9kgsZQIT7ZNNLhQHaLG?w=191&h=286&c=7&o=5&pid=1.7,63,0,0
1614679009491,49,Kittens-34,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,7322,184,5,7,http://tse3.mm.bing.net/th/id/OIP.aw-rnbZtIHQn0AM4gL34ugHaE7?w=191&h=127&c=7&o=5&pid=1.7,49,0,0
1614679009540,21,Kittens-35,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,9588,232,5,7,http://tse3.mm.bing.net/th?q=Little+Baby+Kittens&dc=3&w=100&h=100&c=1&rs=1&pid=InlineBlock&mkt=en-GB&adlt=moderate&t=1&mw=240&sr=3&shs=2,20,0,0
1614679009561,57,Kittens-36,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,14776,184,5,7,http://tse4.mm.bing.net/th/id/OIP.sFUYyGfpDLPzoCtC3-UOoQHaJ4?w=191&h=255&c=7&o=5&pid=1.7,57,0,0
1614679009618,23,Kittens-37,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,482,141,5,7,http://www.bing.com/sa/simg/Flag_Feedback.png,22,0,0
1614679009641,21,Kittens-38,200,OK,Bing Various 2-3,bin,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,936,150,5,7,http://www.bing.com/rp/ytiieusXgM2K8bLkEDP-AS1ePds.png,21,0,0
1614679009662,18,Kittens-39,200,OK,Bing Various 2-3,text,false,Test failed: text expected something using /200/	Test failed: text expected something using /301/	,1109,149,5,7,http://www.bing.com/rp/da3XTE4E24gCNAQJm5tKrqZDeuc.js,18,0,0
